day,declination_deg,max_elevation_deg,photoperiod_h,solar_density_kWh_m2,panel_eff_used,E_solar_day_kWh,P_total_W,E_consumption_24h_kWh,E_night_kWh,E_charge_needed_kWh,E_surplus_after_charge_kWh,E_storage_loss_kWh,margin_pct,verdict
1,-23.01,22.99,8.771,2.991,0.291,21.758,1592.0,38.207,24.243,26.351,-18.557,2.108,-48.57,DEFICIT
2,-22.93,23.07,8.785,3.005,0.291,21.862,1592.0,38.207,24.222,26.328,-18.451,2.106,-48.29,DEFICIT
3,-22.84,23.16,8.8,3.021,0.291,21.975,1592.0,38.207,24.198,26.303,-18.336,2.104,-47.99,DEFICIT
4,-22.75,23.25,8.815,3.037,0.291,22.097,1592.0,38.207,24.173,26.275,-18.212,2.102,-47.67,DEFICIT
5,-22.65,23.35,8.832,3.055,0.291,22.227,1592.0,38.207,24.147,26.246,-18.08,2.1,-47.32,DEFICIT
6,-22.54,23.46,8.85,3.074,0.291,22.365,1592.0,38.207,24.118,26.215,-17.939,2.097,-46.95,DEFICIT
7,-22.42,23.58,8.869,3.095,0.291,22.513,1592.0,38.207,24.088,26.183,-17.789,2.095,-46.56,DEFICIT
8,-22.3,23.7,8.889,3.116,0.291,22.669,1592.0,38.207,24.056,26.148,-17.63,2.092,-46.14,DEFICIT
9,-22.17,23.83,8.91,3.139,0.291,22.833,1592.0,38.207,24.023,26.112,-17.463,2.089,-45.71,DEFICIT
10,-22.04,23.96,8.932,3.162,0.291,23.006,1592.0,38.207,23.988,26.074,-17.287,2.086,-45.25,DEFICIT
11,-21.9,24.1,8.955,3.187,0.291,23.188,1592.0,38.207,23.952,26.034,-17.102,2.083,-44.76,DEFICIT
12,-21.75,24.25,8.978,3.213,0.291,23.378,1592.0,38.207,23.914,25.993,-16.909,2.079,-44.26,DEFICIT
13,-21.6,24.4,9.003,3.241,0.291,23.576,1592.0,38.207,23.874,25.95,-16.707,2.076,-43.73,DEFICIT
14,-21.44,24.56,9.029,3.269,0.291,23.783,1592.0,38.207,23.833,25.905,-16.496,2.072,-43.18,DEFICIT
15,-21.27,24.73,9.056,3.299,0.291,23.998,1592.0,38.207,23.79,25.859,-16.277,2.069,-42.6,DEFICIT
16,-21.1,24.9,9.084,3.329,0.291,24.222,1592.0,38.207,23.746,25.811,-16.05,2.065,-42.01,DEFICIT
17,-20.92,25.08,9.112,3.361,0.291,24.454,1592.0,38.207,23.701,25.762,-15.814,2.061,-41.39,DEFICIT
18,-20.73,25.27,9.141,3.394,0.291,24.694,1592.0,38.207,23.654,25.711,-15.57,2.057,-40.75,DEFICIT
19,-20.54,25.46,9.172,3.428,0.291,24.942,1592.0,38.207,23.606,25.659,-15.317,2.053,-40.09,DEFICIT
20,-20.34,25.66,9.203,3.464,0.291,25.199,1592.0,38.207,23.556,25.605,-15.056,2.048,-39.41,DEFICIT
21,-20.14,25.86,9.235,3.5,0.291,25.464,1592.0,38.207,23.506,25.55,-14.787,2.044,-38.7,DEFICIT
22,-19.93,26.07,9.267,3.538,0.291,25.736,1592.0,38.207,23.454,25.493,-14.51,2.039,-37.98,DEFICIT
23,-19.71,26.29,9.301,3.576,0.291,26.017,1592.0,38.207,23.4,25.435,-14.224,2.035,-37.23,DEFICIT
24,-19.49,26.51,9.335,3.616,0.291,26.306,1592.0,38.207,23.346,25.376,-13.931,2.03,-36.46,DEFICIT
25,-19.26,26.74,9.37,3.657,0.291,26.603,1592.0,38.207,23.29,25.315,-13.629,2.025,-35.67,DEFICIT
26,-19.03,26.97,9.406,3.699,0.291,26.907,1592.0,38.207,23.233,25.254,-13.32,2.02,-34.86,DEFICIT
27,-18.79,27.21,9.442,3.742,0.291,27.22,1592.0,38.207,23.175,25.191,-13.003,2.015,-34.03,DEFICIT
28,-18.55,27.45,9.479,3.785,0.291,27.539,1592.0,38.207,23.116,25.126,-12.678,2.01,-33.18,DEFICIT
29,-18.3,27.7,9.517,3.831,0.291,27.867,1592.0,38.207,23.056,25.061,-12.345,2.005,-32.31,DEFICIT
30,-18.04,27.96,9.555,3.877,0.291,28.202,1592.0,38.207,22.995,24.995,-12.004,2.0,-31.42,DEFICIT
31,-17.78,28.22,9.594,3.924,0.291,28.544,1592.0,38.207,22.933,24.927,-11.657,1.994,-30.51,DEFICIT
32,-17.52,28.48,9.634,3.972,0.291,28.894,1592.0,38.207,22.87,24.859,-11.301,1.989,-29.58,DEFICIT
33,-17.25,28.75,9.674,4.021,0.291,29.251,1592.0,38.207,22.806,24.789,-10.939,1.983,-28.63,DEFICIT
34,-16.97,29.03,9.715,4.071,0.291,29.615,1592.0,38.207,22.741,24.719,-10.569,1.977,-27.66,DEFICIT
35,-16.69,29.31,9.756,4.122,0.291,29.987,1592.0,38.207,22.675,24.647,-10.192,1.972,-26.68,DEFICIT
36,-16.4,29.6,9.798,4.174,0.291,30.365,1592.0,38.207,22.609,24.575,-9.808,1.966,-25.67,DEFICIT
